subject,chapter,topic,difficulty,type,question_text,option_a,option_b,option_c,option_d,correct_answer,solution,year,exam_type,source_id,source_name,source_url,extraction_confidence,legal_confidence,manual_review_required,review_notes,flag_reasons
PHYSICS,Kinematics,Motion in 1D,EASY,SINGLE,A particle starts from rest and moves with constant acceleration of 5 m/s². The distance covered in the first 4 seconds is:,10 m,40 m,80 m,160 m,b,Using s = ut + ½at²: s = 0 + ½ × 5 × 16 = 40 m,2023,MAINS,jee_main_official,JEE Main Official Archive,https://jeemain.nta.nic.in/document-category/archive/,high,high,false,,
PHYSICS,Laws of Motion,Newton's Laws,MEDIUM,SINGLE,A 60 kg man is standing on a weighing machine placed in an elevator moving upward with acceleration 2 m/s². What is the reading of the weighing machine? (Take g = 10 m/s²),480 N,600 N,720 N,120 N,c,Weight reading = m(g + a) = 60(10 + 2) = 720 N,2023,MAINS,jee_main_official,JEE Main Official Archive,https://jeemain.nta.nic.in/document-category/archive/,high,high,false,,
PHYSICS,Work Energy Power,Work-Energy Theorem,HARD,SINGLE,A body of mass 2 kg is projected at an angle of 60° with speed 20 m/s. The power delivered by gravity to the body at the instant of projection is: (Take g = 10 m/s²),200 W,100 W,173 W,0 W,a,P = mg × u cos(60°) = 2 × 10 × 20 × ½ = 200 W,2022,ADVANCED,jee_main_official,JEE Main Official Archive,https://jeemain.nta.nic.in/document-category/archive/,high,high,false,,
PHYSICS,Electrostatics,Coulomb's Law,EASY,SINGLE,Two point charges +4 µC and +16 µC are placed 12 cm apart. The position from the +4 µC charge where the electric field is zero is:,4 cm,3 cm,8 cm,6 cm,a,Let distance from 4 µC charge be x. k×4/x² = k×16/(12-x)² → 2/x = 4/(12-x) → x = 4 cm,2023,MAINS,jee_main_official,JEE Main Official Archive,https://jeemain.nta.nic.in/document-category/archive/,high,high,false,,
PHYSICS,Optics,Lens Formula,MEDIUM,MULTI,A convex lens of focal length 20 cm forms a real image of a real object. Which of the following statements are correct?,"If the object is placed at 2F, the image is also at 2F","If the object is placed beyond 2F, the image is real and inverted",The image is always virtual if the lens is convex,"If the object is within focus, the image is virtual and magnified","a,b,d","For a convex lens: object at 2F → image at 2F (real). Object beyond 2F → real, inverted image. Object within focus → virtual, magnified image.",2022,ADVANCED,jee_main_official,JEE Main Official Archive,https://jeemain.nta.nic.in/document-category/archive/,high,high,false,,
CHEMISTRY,Mole Concept,Stoichiometry,EASY,SINGLE,The number of moles of oxygen atoms present in 0.5 moles of H₂SO₄ is:,0.5,1.0,2.0,4.0,c,Each H₂SO₄ molecule contains 4 oxygen atoms. Moles of O = 0.5 × 4 = 2.0 moles.,2023,MAINS,jee_main_official,JEE Main Official Archive,https://jeemain.nta.nic.in/document-category/archive/,high,high,false,,
CHEMISTRY,Thermodynamics,Enthalpy,MEDIUM,SINGLE,"For a reaction, ΔH = −35 kJ/mol and ΔS = −150 J/mol·K at 298 K. The reaction is:",Spontaneous at all temperatures,Non-spontaneous at all temperatures,Spontaneous below a certain temperature,Spontaneous above a certain temperature,c,"ΔG = ΔH − TΔS = −35000 − 298(−150) = −35000 + 44700 = +9700 J/mol. At lower T, ΔG becomes negative, so spontaneous below a certain temperature.",2023,ADVANCED,jee_main_official,JEE Main Official Archive,https://jeemain.nta.nic.in/document-category/archive/,high,high,false,,
CHEMISTRY,Chemical Bonding,Molecular Orbitals,HARD,MULTI,Which of the following species are paramagnetic?,O₂,O₂²⁻,N₂,O₂⁻,"a,d","O₂ has 2 unpaired electrons, O₂⁻ has 1 unpaired electron — both paramagnetic. O₂²⁻ and N₂ have all paired electrons — diamagnetic.",2022,ADVANCED,jee_main_official,JEE Main Official Archive,https://jeemain.nta.nic.in/document-category/archive/,high,high,false,,
CHEMISTRY,Electrochemistry,Nernst Equation,HARD,INTEGER,The cell potential (in mV) for a concentration cell with ratio of ion concentrations [M²⁺]RHS/[M²⁺]LHS = 10 at 298 K is: (Take 2.303RT/F = 59 mV),,,,,30,E = −(0.059/2) × log(10) = −0.0295 V = 29.5 mV ≈ 30 mV,2023,ADVANCED,jee_main_official,JEE Main Official Archive,https://jeemain.nta.nic.in/document-category/archive/,medium,high,true,"; Needs review: marked_manual_review, warnings: 1",low_extraction_confidence
CHEMISTRY,Periodic Table,Periodic Trends,EASY,SINGLE,Which of the following elements has the highest electronegativity?,Nitrogen,Oxygen,Fluorine,Chlorine,c,Fluorine has the highest electronegativity (4.0) on the Pauling scale.,2023,MAINS,jee_main_official,JEE Main Official Archive,https://jeemain.nta.nic.in/document-category/archive/,high,high,false,,
